"","bin","nMonkeys","wtAvgRestPct","wtSdRestPct","wtSeRestPct","wtAvgMovingPct","wtSdMovingPct","wtSeMovingPct","wtAvgFeedingPct","wtSdFeedingPct","wtSeFeedingPct","wtAvgOtherPct","wtSdOtherPct","wtSeOtherPct","wtAvgNumNN","wtSdNumNN","wtSeNumNN","wtAvgDistNN","wtSdDistNN","wtSeDistNN","wtAvgAnthDist","wtSdAnthDist","wtSeAnthDist"
"20","20",2,100,0,0,0,0,0,0,0,0,16.6666666666667,3.39031751810405,2.39731650742692,4.67307692307692,0.176035717286172,0.12447604942409,1.5,0.508547627715608,0.359597476114038,286.3292471,1.07572438920672,0.760652010295826
"21","21",3,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.41111111111111,1.24509137225046,0.718853838934482,311.001873733333,4.68938664605042,2.70741864243145
"22","22",9,55.5892255892256,41.6755948933926,13.8918649644642,17.4876974876975,26.0744213760874,8.69147379202914,24.8018648018648,31.5318570989061,10.5106190329687,18.5185185185185,15.0547186955706,5.01823956519021,2.56053791887125,1.2344750515526,0.411491683850866,2.64250841750842,1.47846655500122,0.492822185000407,321.0335542,3.86592893673724,1.28864297891241
"23","23",7,87.3593073593074,28.4710114400011,10.7610308349597,8.74458874458874,18.9294346108681,7.15465377705939,3.8961038961039,9.58923881465104,3.62439159513921,4.76190476190476,9.27796238840113,3.50674016473147,2.70502354788069,1.33368888516154,0.504087016638346,2.1467032967033,1.39971408717324,0.529042197322024,335.3076568,1.68905714969158,0.638403595465644
"24","24",2,86.1904761904762,0.48433107401487,0.342473786775278,10.2380952380952,3.14815198109662,2.22607961403928,3.57142857142857,3.63248305511148,2.56855340081456,3.33333333333333,3.39031751810405,2.39731650742692,0.941666666666667,0.822151998140233,0.581349253051028,5.63484848484849,4.57538759602315,3.23528759570478,350.27167285,5.35767359787889,3.78844733244429
"25","28",2,60,13.5612700724162,9.58926602970768,16.6666666666667,3.39031751810405,2.39731650742692,23.3333333333333,16.9515875905203,11.9865825371346,0,0,0,1.34722222222222,0.0988842609447015,0.0699217314666185,1.91025641025641,0.769341282954381,0.544006438223801,412.7309642,2.25153512163842,1.59207575259021
"26","29",1,73.3333333333333,0,0,0,0,0,26.6666666666667,0,0,0,0,0,4.8,0,0,1.13333333333333,0,0,422.9944401,0,0
"27","30",3,69.2063492063492,39.3699084688653,22.7302272524703,4.6031746031746,3.29758193049578,1.90385981524659,26.1904761904762,37.4574588632197,21.6260739578392,2.22222222222222,3.17820863081864,1.83493960854393,2.3031746031746,1.09144600440887,0.630146644451405,2.97863247863248,0.879845082021908,0.507978794950517,447.769962966667,1.18719786939598,0.685429009477121
"28","31",1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,450.5362838,0,0
"29","38",5,78.7878787878788,29.0058132961923,12.9717940545907,15.8787878787879,28.7334715836558,12.8499991381226,5.33333333333333,10.7384968834244,4.80240180150131,8,10.7384968834244,4.80240180150131,1.525,0.658237819505251,0.294372901954995,1.65777777777778,0.633301721986504,0.283221140125899,562.03776902,1.33213925200792,0.595750784597085
"30","39",1,80,0,0,20,0,0,0,0,0,37.5,0,0,0,0,0,NA,0,0,578.8117331,0,0
"31","42",1,83.3333333333333,0,0,16.6666666666667,0,0,0,0,0,14.2857142857143,1.91868467733273e-15,1.91868467733273e-15,2,0,0,2.33333333333333,0,0,624.0327319,0,0
