LAT,LONG,WAYPOINT,#Howl bouts per 30 min sample,roar bouts per hour,Anth Distance (m),Raw River Distance (m)
10.431503,-84.003717,OHS3043,0,0,127.235,127.195
10.431507,-84.003686,OHS3044,0,0,130.302,130.255
10.431475,-84.003693,OHS3045,0,0,127.711,127.670
10.431476,-84.003699,OHS3046,0,0,127.234,127.178
10.431764,-84.004621,OHS3047,0,0,51.238,51.184
10.431481,-84.003704,OHS3048,0,0,127.074,127.021
10.431481,-84.003701,OHS3049,1,2,127.350,127.296
10.43190697,-84.00588797,OHS305,,0,13.87891664,35.6516138
10.430093,-84.004655,OHS3050,2,4,12.792,12.812
10.432523,-84.006607,OHS3052,0,0,82.797,82.821
10.432497,-84.006656,OHS3053,0,0,88.887,88.912
10.432521,-84.006678,OHS3054,0,0,89.889,89.944
10.432523,-84.006691,OHS3055,0,0,91.081,91.153
10.428257,-84.005085,OHS3056,0,0,152.507,152.528
10.428262,-84.005083,OHS3057,1,2,152.016,152.038
10.425545,-84.003418,OHS3058,0,0,280.498,280.549
10.425129,-84.004016,OHS3059,1,2,342.111,342.102
10.43182902,-84.00561498,OHS306,,2,7.191974356,11.9572628
10.425116,-84.00414,OHS3060,1,2,348.252,348.184
10.431297,-84.005417,OHS3061,0,0,14.951,14.964
10.431323,-84.0054,OHS3062,0,0,12.245,12.261
10.431369,-84.005406,OHS3063,1,2,11.226,11.226
10.431383,-84.005396,OHS3064,1,2,9.698,9.701
10.431363,-84.005419,OHS3065,2,4,12.787,12.787
10.426188,-84.002463,OHS3066,1,2,169.676,169.690
10.426018,-84.002433,OHS3067,1,2,181.924,181.935
10.426227,-84.002506,OHS3068,0,0,169.498,169.607
10.426227,-84.002506,OHS3069,0,0,169.498,169.607
10.43132996,-84.00526201,OHS307,,2,2.292102216,0
10.436957,-84.009757,OHS3070,0,0,111.064,111.084
10.426227,-84.002506,OHS3071,0,0,169.498,169.607
10.426227,-84.002506,OHS3072,0,0,169.498,169.607
10.437153,-84.010725,OHS3073,1,2,126.364,126.405
10.437153,-84.010725,OHS3074,0,0,126.364,126.405
10.437153,-84.010725,OHS3075,0,0,126.364,126.405
10.436878,-84.009799,OHS3076,0,0,120.806,120.797
10.437152,-84.010592,OHS3077,0,0,121.775,121.800
10.43718,-84.010613,OHS3078,0,0,119.596,119.583
10.437168,-84.010627,OHS3079,0,0,121.335,121.327
10.43139802,-84.005245,OHS308,,2,6.503259304,0
10.437175,-84.010629,OHS3080,1,2,120.666,120.660
10.43717,-84.010503,OHS3081,2,4,116.706,116.794
10.438653,-84.014058,OHS3082,1,2,112.620,112.604
10.438622,-84.014072,OHS3083,0,0,115.805,115.801
10.43859,-84.014074,OHS3084,0,0,119.283,119.287
10.438588,-84.014077,OHS3085,0,0,119.457,119.465
10.431488,-84.000462,OHS3086,0,0,152.535,145.979
10.433261,-84.003291,OHS3087,1,2,165.879,241.015
10.43145,-84.00365,OHS3088,0,0,128.804,130.116
10.431473,-84.003668,OHS3089,0,0,129.851,129.851
10.43135502,-84.00531298,OHS309,,0,2.076500538,2.088681577
