lat,lon,GPS waypoint for howl,Anth Distance (Perimeter + Camp),Raw River Distance,Length of howl bout in seconds,Howl number in bout,Howl number/minute
10.431358,-84.005435,OHH3034,6.647,14.625,451,6,27060
10.431376,-84.005405,OHH3036,9.956,10.880,3,3,180
10.431375,-84.005398,OHH3037,10.184,10.185,69,6,4140
10.431352,-84.00541,OHH3038,9.380,12.245,37,8,2220
10.426064,-84.002497,OHH3039,186.055,186.136,1128,1035,67680
10.426064,-84.002497,OHH3040,182.520,182.494,76,84,4560
10.437153,-84.010725,OHH3042,126.364,126.405,1562,915,93720
10.437139,-84.010609,OHH3043,123.769,123.753,4,4,240
10.437316,-84.011186,OHH3044,123.545,123.529,198,57,11880
10.437317,-84.011204,OHH3045,124.012,123.993,311,17,18660
10.438449,-84.014082,OHH3047,134.611,134.659,261,12,15660
10.431388,-84.00375,OHH3049,0.000,117.187,4,5,240
10.431534,-84.003651,OHH3050,0.878,135.106,73,74,4380
10.431545,-84.003678,OHH3051,2.307,133.357,6,8,360
10.431543,-84.003673,OHH3052,2.047,133.680,3,6,180
10.431543,-84.003681,OHH3053,2.110,132.960,185,16,11100
10.431538,-84.004065,OHH3055,7.309,97.104,41,7,2460
10.431591,-84.004077,OHH3056,6.722,99.080,2123,216,127380
10.431495,-84.00377,OHH3065,1.053,121.917,577,125,34620
10.431493,-84.003775,OHH3068,1.390,121.341,141,19,8460
10.431518,-84.003537,OHH3070,0.000,144.601,634,21,38040
10.430177,-84.007159,OHH3073,0.000,236.688,133,36,7980
10.429788,-84.007099,OHH3074,41.593,251.779,315,151,18900
10.432778,-84.00477,OHH3075,70.803,70.810,1539,156,92340
10.430166,-84.007151,OHH3079,0.000,236.389,230,152,13800
10.4263,-84.002154,OHH3080,138.425,138.436,6,6,360
10.426082,-84.00251,OHH3081,181.930,181.900,443,29,26580
10.427263,-84.002353,OHH3083,92.849,92.880,4,6,240
10.4272,-84.002342,OHH3084,94.811,94.835,118,16,7080
10.426235,-84.002279,OHH3085,152.672,152.683,554,52,33240
10.426036,-84.00238,OHH3087,176.715,176.726,3,5,180
10.438384,-84.0136,OHH3088,154.398,154.405,489,97,29340
10.438985,-84.013146,OHH3090,105.606,105.670,3,4,180
10.437993,-84.012757,OHH3091,168.417,168.440,6,6,360
10.439171,-84.012984,OHH3092,94.058,94.070,2,3,120
10.429891,-84.006649,OHH3093,45.179,204.976,222,8,13320
10.434057,-84.004804,OHH3095,93.833,93.823,52,17,3120
10.438462,-84.014977,OHH3096,125.633,125.660,76,12,4560
,,OHH3097,,,794,64,47640
10.431376,-84.005405,OHH3098,,,250,47,15000
10.43095303,-84.00670001,OHH7001,0,160.2413231,2,,
10.43662498,-84.00954399,OHH7002,139.2039352,139.2386516,111,,
10.43680997,-84.00973803,OHH7003,125.9690456,126.0846396,142,,
10.43670402,-84.00974499,OHH7004,137.421107,137.4574052,5,,
10.43069604,-84.00648996,OHH7005,0,147.68528,3,,
10.43697501,-84.00997499,OHH7006,116.2827615,116.3700865,167,,
10.43699001,-84.01004196,OHH7007,117.0335046,117.1156984,1244,,
10.43695296,-84.01008999,OHH7011,122.7276227,122.7688553,5,,
10.436988,-84.01004397,OHH7012,117.3178417,117.3984439,540,,
10.43744104,-84.00957903,OHH7014,54.06778512,54.16268802,319,5,19140
10.43750902,-84.009444,OHH7017,42.48025504,42.48969624,437,5,26220
10.43751396,-84.00956503,OHH7020,45.91663349,45.98583961,308,8,18480
10.43748697,-84.00949697,OHH7021,46.58210739,46.62493892,2,2,120
10.43757498,-84.00951298,OHH7022,37.75429588,37.8994582,402,7,24120
10.43749502,-84.00949001,OHH7023,45.49874886,45.53929414,894,28,53640
10.43745101,-84.00953603,OHH7024,51.66242058,51.75181018,295,9,17700
10.43758102,-84.00961398,OHH7025,40.49379802,40.48712746,2,1,120
10.43763399,-84.00962203,OHH7026,35.08700372,35.10220553,264,2,15840
10.42407601,-84.00176902,OHH7028,134.7190962,134.7271289,17,2,1020
10.42379698,-84.00194798,OHH7029,147.0310049,147.0388663,110,6,6600
10.42399798,-84.00184899,OHH7030,141.7550368,141.7628902,928,31,55680
10.43232104,-84.00683798,OHH7032,91.91448233,115.5081158,59,4,3540
10.43193899,-84.00465298,OHH7033,24.77940163,56.15034976,6,2,360
10.43176498,-84.005634,OHH7034,0.203642999,16.80516514,5,1,300
10.42443601,-84.00164698,OHH7035,136.5257544,136.5340223,622,7,37320
10.43318999,-84.00723998,OHH7039,132.4428464,132.4831632,143,3,8580
10.43129903,-84.00526998,OHH7041,0.386060078,0,2,1,120
10.43046696,-84.00610599,OHH7042,0,119.5529379,488,18,29280
10.43102997,-84.00563199,OHH7044,0,46.77237239,2,1,120
10.43093098,-84.00574498,OHH7045,5.544572337,62.00326913,2,1,120
10.43111396,-84.00539202,OHH7046,16.75968599,18.87789822,123,7,7380
10.43056997,-84.00609098,OHH7047,1.219319152,112.3597115,57,1,3420
10.44057101,-84.01173804,OHH7049,82.36144524,82.39820581,1256,59,75360
10.44055299,-84.01172404,OHH7051,83.42624043,83.43582259,405,22,24300
10.44056799,-84.011731,OHH7052,83.03686505,83.06761481,706,16,42360
10.44030103,-84.01178104,OHH7054,75.40968493,75.35175531,403,6,24180
10.44031,-84.01172999,OHH7056,80.99814023,80.91717628,2,1,120
10.43112,-84.00539101,OHH7057,16.71202259,18.55499256,36,2,2160
10.42961,-84.00588303,OHH7058,85.04351823,152.9425395,109,6,6540
10.43043,-84.00360801,OHH7059,4.147754109,63.85994582,871,56,52260
10.43045003,-84.00365504,OHH7060,6.092183838,60.89162287,2,1,120
10.43044902,-84.003721,OHH7061,12.00722437,54.88951557,413,18,24780
10.43026596,-84.00339302,OHH7062,1.068463866,73.57831189,14,3,840
10.436097,-84.00572,OHH7063,81.12522286,163.0943962,2594,47,155640
10.43494298,-84.00547198,OHH7075,17.7239802,92.66217149,475,31,28500
10.43509603,-84.00561799,OHH7076,16.55144554,94.33640155,618,37,37080
10.435104,-84.00576099,OHH7077,5.325478305,84.37143564,581,3,34860
10.43571596,-84.00625703,OHH7079,19.27063974,97.18964251,3,1,180
10.43547699,-84.00633398,OHH7080,13.37675031,91.03039416,315,8,18900
10.43549401,-84.00639198,OHH7082,8.605166084,67.2455108,734,41,44040
10.43551203,-84.00706898,OHH7083,5.521222514,5.463117428,991,41,59460
10.43558001,-84.00691903,OHH7085,23.43728247,23.39912436,549,29,32940
10.43557297,-84.00701299,OHH7087,14.27545066,14.24183485,2,1,120
10.43553298,-84.00692398,OHH7088,20.2796603,20.2344292,179,14,10740
10.43511397,-84.00630397,OHH7089,38.73876785,42.59603661,1497,91,89820
10.43495002,-84.00581103,OHH7091,10.01071788,68.0917179,535,29,32100
10.434745,-84.00551104,OHH7092,14.17241194,73.55801637,776,42,46560
10.43456102,-84.00514802,OHH7094,58.51421069,87.55788668,151,4,9060
10.43295404,-84.00482104,OHH7095,70.26536427,70.28853487,804,24,48240
10.43286804,-84.00485901,OHH7097,63.73297539,63.75122215,203,7,12180
10.43269697,-84.00484501,OHH7099,60.65898255,60.62869625,2,1,120
10.43259203,-84.00477502,OHH7100,65.25230867,65.22644588,243,11,14580
10.431897,-84.004642,OHH7101,19.97991844,55.29709734,309,6,18540
10.43120197,-84.00448099,OHH7103,0,38.67663502,4,1,240
10.43143599,-84.00440396,OHH7104,2.635107325,59.60455023,105,10,6300
10.43276201,-84.00490997,OHH7105,55.49759925,55.4832738,105,9,6300
10.43365996,-84.00461803,OHH7106,104.9166965,104.8998949,30,3,1800
10.43286502,-84.00480201,OHH7107,69.72901567,69.71664015,156,13,9360
10.432919,-84.00468701,OHH7108,83.38665146,83.41492286,270,23,16200
10.43289796,-84.00703504,OHH7109,120.1932594,120.2583084,2,1,120
10.432889,-84.00722103,OHH7110,140.5555986,140.636227,9,2,540
10.43346299,-84.00740501,OHH7111,138.0084074,138.0168428,408,14,24480
10.43344798,-84.00741197,OHH7113,139.7537161,139.7660097,506,37,30360
10.43364898,-84.00768002,OHH7114,140.8938455,140.9380176,463,4,27780
10.43358402,-84.007777,OHH7116,153.0631551,153.0688427,673,25,40380
10.43380103,-84.00767097,OHH7117,126.9198634,126.9613373,12,11,720
10.43376801,-84.00770903,OHH7118,132.3578085,132.4100741,162,9,9720
